tay,vietnamese
"dò, mầng đang phuối căn nà, tẻo pây lòa kha cáy.","dà, đang nói chuyện đắp ruộng, lại đi nói chuyện đuổi gà."
tứn dặng,đứng dậy
slườn pí mì kỉ tua mu?,nhà chị có mấy con lợn?
mi hết nghề puôn dú bản.,mi làm nghề buôn bán ở làng.
bươn chiêng,tháng giêng
các,gác
"hại bấu nòn, mai bấu chắc tứn.","nếu không ngủ, mai không biết dậy."
hăn cạ te men hua tót lai.,nghe nói anh ta bị đau đầu lắm.
slon tiếng tày khỏ bấu khỏ?,học tiếng tày khó không?
"dò, mì fiệc lăng xạ roọng thâng cá à?","chà, có việc gì xã gọi đến anh à?"
khỏi đảy slíp slí pi.,tôi được 16 tuổi.
nhoòng lăng mầư kin ngài hạy pên nẩy?,tại sao mày ăn cơm vội vàng thế này?
cần tày ăn nặm chèn đây lai.,người tày ăn nước mắm ngon lắm.
"pí ơi, màu nẩy xằng mại đai.","chị ơi, màu này không phai đâu."
cọn lếch le_ nghề cúa cần tầu?,nghề rèn là nghề của người nào?
"khuya dá, boong hây nòn nứ pây a.","khuya rồi, chúng mình ngủ nghiếc đi."
"ờ hờ noọng nòn, nòn đắc nòn đi.","à ơi em ngủ, ngủ say đi."
"tọ ca này táng dá, tua cần ca này hết chin rèo tàng khai dự.","nhưng bây giờ khác rồi, con người bây giờ làm ăn theo kinh tế thị trường."
nặm chẳm,nước chấm
hí slẩy khát,lo đứt ruột
khỏi nhằng bấu chắc lai.,tôi vẫn chưa biết nhiều đâu.
vằn pjục phạ phân lo?,ngày mai trời mưa hả?
nhằng bại nà dú chang bản le_ pền tầư?,còn những ruộng trong làng thì thế nào?
"tơ_i cón pện ca lại, nhoòng táng hết táng chin.","ngày xưa thì thế, vì làm ăn theo cách cũ."
"dú chang bản mì lai cần tày, nùng, keo.","trong làng có nhiều người tày, nùng, kinh."
"hại ma khốp, rèo pây tiêm da.","nếu bị chó cắn, phải đi tiêm thuốc."
"pí ơi, vằn nẩy phạ đét lai.","chị ơi, hôm nay trời nắng lắm."
dú bản nẩy mì pác lai rườn le_ mì hốc slíp lai rườn hết nghề cọn lếch dá!,ở bản này có hơn trăm hộ thì đã có sáu mươi hộ làm nghề rèn rồi!
tọt khe,quăng chài
"dú bản mầư, cần tày chàu mì rụ bấu?","ở bản mày, người tày giàu có hay không?"
khỏi ti_nh hăn hâu tồn mừa nghè cọn lếch dú bản nẩy.,tôi nghe người ta đồn đại nhiều về nghề rèn ở bản này.
nặm khuổi nẩy bốc noòng thất thường.,nước khe suối này dâng lên xuống thất thường.
hin lặp,đá mài
nhoòng lăng noọng hảy lai?,vì sao em khóc nhiều thế?
nhoòng lăng noọng hảy?,vì sao em khóc?
tàng luông nẩy mì lai xe tải.,đường lớn này có nhiều xe tải.
lục slao tày chắc nhặp nhọm đây lai.,con gái tày biết thêu thùa đẹp lắm.
te slự nựa cáy vạ khẩu.,nó mua thịt gà và gạo.
"chài ơi, vằn pjục boong hây pây pưa pja nớ.","anh ơi, ngày mai chúng mình đi bắt cá nhé."
mầư đạ xé mạy xong xằng?,mày đã xẻ gỗ xong chưa?
lục liệng,con nuôi
lục hùng đang slon slư dú rườn.,cháu hùng đang học bài ở nhà.
noọng mí chắc chài nắt ca lăng?,em không biết anh thích cái gì?
noọng mí chắc có nắt ca lăng?,em không biết anh thích cái gì?
pja bẳm,cá mắm
"vài ơi, mầư lăng bấu kin nhả?","trâu ơi, sao mày không ăn cỏ?"
mái cạ phải dung tẳm khát tọ màu xằng mại.,mặc dù vải dùng đến lúc rách nhưng màu vẫn không phai.
lục,con
"pây khai mu pây, au chèn mà dự khẩu.","đi bán lợn đi, lấy tiền mua gạo."
noọng pây hất ngài hử pí đảy bấu?,em đi nấu cơm cho chị được không?
"lục dú rườn ngòi noọng, mí đảy pây liểu nớ?","con ở nhà trông em, không được đi chơi đâu nhé?"
pjá nỉ,trả nợ
ái hết chin rèo kiểu khai dự le_ rèo pây slon chắng đảy cà.,muốn làm ăn theo kiểu kinh tế thị trường thì phải đi học thì mới làm được.
dương slướng,vẻ đẹp
"chài ơi, pí ái pây vạ anh bấu?","anh ơi, chị muốn đi với anh không?"
mí,không
ái hết nghề lăng tố rèo slon.,muốn làm nghề gì cũng phải đi học.
mí đảy pây liểu noọc rườn.,không được đi chơi ngoài nhà.
po_ đang thây thư nà hẩư mẹ.,bố đang cày ruộng cho mẹ.
noọng hết nghề cháo dú bản.,em làm nghề giáo ở làng.
que khỏi dú lạng sơn.,quê tôi ở lạng sơn.
phả kha,bàn chân
hó pẻng,gói bánh
mu cải chấn lai.,lợn to béo lắm.
chài lan đang pây háng.,anh lan đang đi chợ.
slon tiếng tày khỏ bấu khỏ lai?,học tiếng tày khó không khó lắm?
cáy khướng,gà mái tơ
lan ái pây thị xạ vạ áo.,cháu muốn đi thị xã với chú.
chài xa nghé lăng dế?,anh đang tìm cái gì vậy?
mầư đạ kin nặm chèn cúa bản khỏi xằng?,mày đã ăn nước mắm của làng tôi chưa?
nựa cáy,thịt gà
"khảu bươn sì, trời đét lai.","vào tháng 4, trời nắng lắm."
"pú ơi, pưa nẩy hết nà khỏ bấu?","ông ơi, vụ này làm ruộng khó không?"
pi quá mầư slon slư pền lăng?,năm ngoái mày học hành ra sao?
xằng,chưa
"lan ơi, pưa nẩy mầư đảy kỉ lai pi?","lan ơi, năm nay mày được bao nhiêu tuổi?"
khăm nẩy khỏi mí nòn đảy.,đêm nay tôi không ngủ được.
nâư chạu,sáng sớm
noọng khủ,em cậu
che slự bâư slửa đăm.,chị mua cái áo màu đen.
ái khửn định hóa lẻ pây pền rừ?,vừa mới đến định hóa thì đi như thế nào?
nặm cắt,nước lã
khỏi ti_nh hăn hâu tồn mừa nghè cọn lếch truyền thống cúa bản khau chang lai dá.,tôi nghe người ta đồn đại nhiều về nghề rèn truyền thống của bản khau chang lắm rồi.
dú đin việt nam lầu nhằng mì lai dân tộc tố chắc hết bại nghề bặng cần tày.,"ở đất nước việt nam ta, vẫn còn nhiều dân tộc cũng biết làm nhiều nghề như người tày."
boong hây chập cần khỏ khát lèo hết lăng?,chúng ta gặp người nghèo khổ nên làm thế nào?
cà này chắng đảy thâng.,bây giờ mới đến được.
"chang slườn mì lai nhùng lai, hết pền rừ?","trong nhà nhiều muỗi quá, làm thế nào?"
dào nả,rửa mặt
áo men chang cần khỏe lai.,chú thấy trong người khỏe lắm.
lan mì ái pây háng vạ chài.,cháu muốn đi chợ với anh.
lếch niểng,sắt gỉ
boong te slổng xen căn.,họ sống xen lẫn nhau.
"áo ơi, mí chèn le_ au chèn khỏi dự cón.","chú ơi, nếu không có tiền thì lấy tiền cháu mua đã."
hết fiệc xong tò khửn rườn tẳm.,làm việc xong thì lên nhà ăn cơm.
"áo ơi, mầư hăn cúa khỏi dú tầư?","chú ơi, chú thấy đồ của cháu ở đâu?"
"áo ơi, mầư men chang cần pên rừ?","chú ơi, chú thấy trong người thế nào?"
"me ơi, che slự bâư slửa tầư?","mẹ ơi, chị mua cái áo nào?"
khỏi hết nghề lái xe.,tôi làm nghề lái xe.
cò niêng,cổ bìu
bấu,không
khỏi kin ngài vạ pja pướng.,tôi ăn cơm với cá nướng.
khoăn ni,mất vía
hết nha,hờn dỗi
hết nà pưa nẩy bấu khỏ lai.,làm ruộng vụ này không khó lắm.
pí lùa chắc tắm phải đây lai.,chị dâu biết dệt vải đẹp lắm.
khỏi mí chắc phươi tiểng tày.,tôi không biết nói tiếng tày.
đét ón,nắng dịu
bâư slửa nẩy nhặp nhọm đây lai á.,cái áo này thêu thùa đẹp lắm đấy.
hết pền rừ noọng pây slon slư đảy?,làm thế nào em đi học được?
po_ mẹ mầư đạ kin ngài xằng?,bố mẹ mày đã ăn cơm chưa?
chú nhằng lèng lẹo chầy.,chú vẫn còn khỏe lắm.
"đây slao nỏ, te mí chắc hết.","đẹp mặt nhỉ, nó không biết làm."
khẩu nua,lúa nếp
cót,ôm
ăn lăng lăn lông lống pện nảy?,cái gì mà lăn lông lốc thế này?
"nặm noòng cải, mí đảy khảm ta_.","nước lụt lớn, không được lội sang sông."
ăn mác co nảy mọi cân kỉ lai dế?,hạt dẻ mỗi cân bao nhiêu tiền?
ăn mác co nẩy mọi cân kỉ lai dế?,hạt dẻ mỗi cân bao nhiêu tiền?
cần cao bằng điếp khách lai.,người cao bằng mến khách lắm.
ăn mạy nẩy mì mác lai.,cây này có nhiều quả lắm.
vằn nẩy chài dú rườn hết nà.,hôm nay anh ở nhà làm ruộng.
"nhằng mi né, mi slưởng hết lăng?","thế mi thì sao, mi định làm gì?"
pí lùa đang tắm phải.,chị dâu đang dệt vải.
"tẳm tơ_i mư_a, cần tày lầu đạ mì lai nghề hết kin.","từ đời xưa, người tày đã có nhiều nghề để làm ăn."
mác lịch,hạt dẻ
"hết fiệc xong, tò khửn rườn kin lẩu.","làm việc xong, thì lên nhà ăn cỗ."
thàng lủc đếch pây thư nà vạ vài.,thằng nhóc đi cày ruộng với trâu.
pí chài hết nghề lăng dú huyện?,anh làm nghề gì ở huyện?
khỏi xé mạy xong dá.,tôi xẻ gỗ xong rồi.
tại lăng mầư bấu pây hết nà vằn nẩy?,tại sao mày không đi làm ruộng hôm nay?
thàng lủc đếch le pây thư nà.,thằng nhóc thì đi cày ruộng.
hăn cạ te men hua tót.,nghe nói anh ta bị đau đầu.
"pí pây mà, khỏi dú rườn ngòi.","chị đi đi, tôi ở nhà đợi."
vằn nẩy pí dú rườn hết fiệc rườn.,hôm nay chị ở nhà làm việc nhà.
nhình tầu hử mầu bâư slửa đây lai nỏ?,đứa nào (con gái) cho mày cái áo đẹp ghê nhỉ?
tại lăng noọng bấu pây slon slon slư?,tại sao em không đi học?
pí noọng pây hâư thuổn za?,anh em đâu hết rồi?
nẩng khẩu nua,đồ xôi
tại lăng noọng bấu pây slon slư?,tại sao em không đi học?
tua vài nẩy pét triệu ớ.,con trâu này tám triệu đấy.
cần hâư slan chậu pền rừ?,người ta đan dậu thế nào?
po_ mẹ khỏi kin xong dá.,bố mẹ tôi ăn xong rồi.
khỏi kin xong dá.,tôi ăn xong rồi.
bảc nhằng lèng lẹo chầy.,bác vẫn còn khỏe.
"tại lăng kha khuổi nẩy bát bốc, bát noòng?",tại sao con suối này lúc hạn lúc lũ?
vằn hả bươn cẩu te pây khai giảng đá.,ngày 5 tháng 9 chúng khai giảng rồi.
bại lủc đếch pây au phừn dú tầư mà hất ngài?,bọn trẻ lấy củi ở đâu về nấu cơm?
"mầu ơi, pưa nẩy mầư đảy kỉ lai pi?","bạn ơi, năm nay mày được bao nhiêu tuổi?"
"bảc ơi, ăn mạy nẩy mì mác bấu?","bác ơi, cây này có quả không?"
hết fiệc đại học khỏ lai vỏ?,làm việc đại học khó nhỉ?
khỏi men hua tót.,tôi bị đau đầu.
cần slồng tàng dú đông.,người dẫn đường trên rừng.
bản áo mì lai cần chắc hát lượn.,làng chú có nhiều người biết hát lượn.
mạy mác khửn kheo ứt dú đông.,cây cối xanh tốt trên rừng.
phấn pay xa hát phu liệng phắc.,người làm phu vất vả nuôi thân.
"chử, pây pưa pja.","vâng, đi bắt cá."
hết khỏi,làm đầy tớ
đét cải hất fiệc khỏ lai.,nắng to làm việc vất vả lắm.
tha,mắt
tua tầu pây tăm nà đuổi câu nớ?,đứa nào đi cấy lúa với tao đây?
pện tỉ cần tày lầu tố tồng lai bại dân tộc đai mừa văn hoá.,"như vậy, người tày ta cũng giống nhiều dân tộc khác về mặt văn hóa."
pỏ chài thây thư nà hẩư me.,bố cày ruộng cho mẹ.
hết khươi,ở rể
"tại lăng kha khuổi nảy bát bốc, bát noòng?",tại sao con suối này lúc hạn lúc lũ?
khỏi ái slon hát lượn vạ áo.,tôi muốn học hát lượn với chú.
hai mồn,trăng tròn
lăng,lưng
noọng mí chắc chài nắt nghé lăng?,em không biết anh thích món gì?
mỏ,nồi
khảm hải,vượt biển
lủc nhình cần pây liểu tẳm slíp ất giờ chắng mà. đây slao nỏ?,con gái đi chơi tận mười một giờ mới về. đẹp mặt nhỉ?
hó khẩu nua,gói cơm nếp
pja fe_ nẩy đăm khẩu lai.,cá giống này mổ thóc nhiều.
ấc,ngực
ná pjàng pàng dạy,đừng dối bạn bè
tóc nậm thai xa bố hẳn tang.,vợ khóc than thảm thiết mất chồng.
noọng lùa,em dâu
noọng khua mí bạn dú slon.,em cười với bạn ở lớp học.
pác quẻ quẻ bặng bẻ gà rị,mồm nói huyên thuyên như con dê bị mắc ở bờ dậu kêu cứu
"khuya dá, nòn nứ pây a, bấu náo nâư pjục nắm chắc tứn.","khuya rồi, ngủ nghiếc đi, nếu không mai không biết dậy"
noọng khươi,em rể
thai chạu,chết sớm
pác thứ thỏe pí pí lèo nộp.,trăm thứ thuế lòng cấm phải nộp.
hó,gói
phôn đoi,mưa ngâu
lan ngám pây hết fiệc mà lỏ?,cháu mới đi làm việc về à?
vài pải pùng,trâu đầm bùn
mí chắc chài pươi ka lăng? ngản !,không biết anh nói cái gì? chán !
mác mặt,quả mác mật
khảu bươn cẩu te xẹ pây slon.,vào tháng 9 chúng sẽ đi học.
khua nhói nhói,cười tươi roi rói
cẩn diếu,cần thiết
lồng mừ,ra tay
mác mặn,quả mận
kháng thôm,tháo ao
"khuya dá, boong hây bấu đảy pây liểu.","khuya rồi, chúng mình không được đi chơi."
noọng hết nghề puôn dú bản.,em làm nghề buôn bán ở làng.
mí mì cần ngòi slườn pây lăng đảy?,không có ai trông nhà đi sao được?
khuân kha,lông chân
noọng điếp chài bấu?,em yêu anh không?
"phạ lai đao dí pện nẩy, vằn pjục xẹ đét lai nỏ?","trời nhiều sao thế này, ngày mai sẽ nắng lắm nhỉ?"
hò pjạ,thằng mồ côi
lục lả,con út
a,cô
lan ái pây thị xạ vạ me.,cháu muốn đi thị xã với mẹ.
tha vằn nhó khửn pjai pù,mặt trời nhô lên đỉnh núi
slon cạ,dạy bảo
"ử hở noọng nòn, nòn đắc nòn đi, nòn thả ý me mà","à ơi em ngủ, ngủ say đi, đợi tí mẹ về"
pây,đi
a lùa,thím
nà tốc thắn,ruộng bậc thang
pẻng đắng,bánh tro
slon híu,học giỏi
khóp đổng,cạp nong
"ừ, pây á","ừ, đi thôi"
lăm hỉu pết eng,diều hâu tha vịt con
"a lối, liệu chài chắc chỏi bấu?","ôi, anh biết sửa không?"
slon bấu?,học không?
khên tha,trợn mắt
au,lấy
cọn tổng,đánh trống
slon slư,học
"lục slao cần tày bố tán cạ hết nà đai, nhằng chắc hết phải, nhặp nhọm them.",con gái tày không chỉ biết làm ruộng mà còn biết dệt và may vá
nà chằm,ruộng lầy
sliễu slắc xu mèn chươc phúc mừ.,thiếu một xu liền bị cùm tay.
eng,nhỏ
pết,thịt gà
"slon thuổn dá, pây liểu nỏ?","học xong rồi, đi chơi nhỉ?"
slon pện nảy mí đảy thi đậu.,học thế này không được thi đậu đâu.
hò slấc,thằng giặc
lục lèo pây bộ đội.,con phải đi bộ đội.
"nà bấu bjai, nhả khửn nhôm nhôm",ruộng không làm cỏ
"nà bấu bjai, nhả khửn nhôm nhôm",cỏ sum suê
mác phết,quả ớt
vài ơi mầư lăng bấu kin nhả,trâu ơi làm sao mày không ăn cỏ
"mền chắp nà, chắp slấy, chắp slươn.","nó chiếm ruộng, chiếm rẫy, chiếm vườn."
khuốp pí ngài vắt và đét phàn.,cả năm bị vắt và nắng mưa.
tói moong,gõ mõ
khun cáy,chăn gà
pì noọng pây hết fiệc chang nà.,anh em đi làm việc trong ruộng.
pì noọng pây hết fiệc chang râ_y.,anh em đi làm việc trong rẫy.
me mòi,bà mối
quà,cào
thư tậu,chống gậy
"chứ khẩu lam lai giá, hâng lai mí đảy kin khẩu lam","nhớ cơm lam lắm rồi, lâu lắm không được ăn cơm lam"
mác muông,quả muỗm
cà này noọng ngám thâng lỏ? chắc kỉ lai dờ bấư?,bây giờ em mới đến hả? biết mấy giờ rồi không?
noọng slao,em gái
khả cáy,thịt gà
phjác,trán
cắt,lạnh
noọng pây hết fiệc.,em đi làm việc.
sloong tu vài kin nhả dú noọc le_ cúa cầư?,hai con trâu đang ăn cỏ ở ngoài kia là của ai?
náo mì slíp slam cần chả lo?,mới có 13 người thôi à?
me lăng,vợ kế
tại pi noọng lầu bấu chướng đảy đông mạy kha khuổi nảy chắng bát bốc bát noòng thuổm tổng nà.,tại mọi người chúng ta không bảo vệ rừng cây nên con suối này lúc cạn lúc lũ ngập ruộng đồng.
lưu charp mì ỷ diêm sliểu,lưu hỏi có ý lo xa
tại lăng mầư hạy?,tại sao mày khóc?
vài tò tăm,trâu húc nhau
me mải,bà góa
phấn tài cần pay păn kin xo. phấn pay xa hát phu liệng phắc.,kẻ li hương bỏ vơ hành khất. người làm phu vất vả nuôi thân.
hăn cần chin mác slổm le nài khửn.,thấy người ta ăn quả chua thì chảy nước dãi.
bại pí bươn slỏng dù chang đẳm.,ngày tháng năm sống trong tăm tối.
tại lăng kha khuổi nẩy nặm trong lai?,tại sao con suối này nước trong lắm?
bại séc dú chang hòm noọng hăn mí?,đống sách trong hòm em thấy không?
pì noọng pây hầư nhín mí xùa noọng pây đuố ?,anh em đi đâu chơi không rủ em đi với?
tốc bả,mắc lừa
cần khổ lè toón chin tổn chắn.,dân nghèo vẫn phải lo từng bữa.
tại lăng noọng bấu pây slon nghề?,tại sao em không đi học nghề?
đông pá,rừng già
pài chại,chiều muộn
slút tơi,hết đời
khả cáy hết phjắc,thịt gà làm thức ăn
bjai nà,làm cỏ lúa
noọng pây bjai nà chầy.,em đi làm cỏ lúa thôi.
hai khửn,trăng lên
lài,hoa
vài eng kỉ lai pi chắng pây hết nà đảy?,trâu bé bao nhiêu tuổi thì đi làm ruộng được?
"mí đảy nòn lai, khăm nẩy.","không được ngủ nhiều, đêm nay."
mí điếp căn lườn tẩư cằn lườn nưa cụng quây,thương nhau đi mười ngày đàng cũng gần
mí điếp căn lườn tẩư cằn lườn nưa cụng quây,không thương nhau nhà dưới cạnh nhà trên cũng xa”
chếp bặng mạ tản,đau như ngựa đá
vây ứ,đưa nôi
pây liểu bấu?,đi chơi không?
mí pú ké cẳm chang mà vạ.,lại có ông cụ già đi chân đất.
pây mí?,đi không?
mác mị,quả mít
mí chắc phươi.,không biết nói.
mí chắc phươi,không biết nói
vì bấư phuối gằm lồmquá kéo.,lời không như gió qua đèo
"lan pây slon nghề dú hà nội đảy slam pi dá, pi nưng le đảy mừa dá né?","cháu học nghề ở hà nội được ba năm rồi, một năm nữa là được về rồi đấy nhỉ?"
pẻng chen,bánh rán
cờ đeng,cờ đỏ
mác nim,quả sim
chẻn bặng khỉ chạng,rẻ như cứt voi
pác van,nói khéo
mí rườn mè hãy than mát pò.,có nhà con khóc than mất bố.
phả fạ,bầu trời
pền bát,lên nhọt
phjác nháu,trán nhăn
sloong lục ỳ pền coòn pền pịa.,hai chúng con hoá thành mồ côi.
cằm xam,câu hỏi
